team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,rank_stddev,mean_normalized_rank,rank_stability
Florida A&M,326.4,350,291,351,5,23.8,91.7,23.8
Dartmouth,329.0,351,312,344,5,15.4,92.4,15.4
Charleston Southern,335.4,352,313,356,5,19.9,94.1,19.9
UNC Asheville,334.2,353,313,355,5,16.5,93.7,16.5
Stonehill,340.3,354,326,359,3,16.9,94.3,16.9
Central Connecticut,334.0,355,308,347,5,15.3,93.7,15.3
Houston Christian,330.3,356,306,348,3,21.8,91.5,21.8
Cal State Northridge,312.0,357,260,350,5,43.7,87.6,43.7
Mercyhurst,339.0,358,339,339,1,,93.6,
Winthrop,338.4,359,321,352,5,13.6,95.0,13.6
Long Island,326.0,360,268,360,5,38.6,91.3,38.6
Chicago State,343.4,361,316,358,5,17.0,96.4,17.0
Queens,335.3,362,315,346,3,17.6,92.9,17.6
Mississippi Valley State,345.8,363,335,359,5,8.8,97.0,8.8
Hartford,342.7,364,319,361,3,21.5,96.9,21.5
Saint Francis (PA),324.4,365,230,360,5,53.8,90.8,53.8
Western Carolina,326.0,366,255,350,5,41.0,91.5,41.0
Delaware State,343.0,367,298,362,5,25.7,96.1,25.7
South Carolina State,355.0,368,342,361,5,7.7,99.6,7.7
