Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
139,Boise State,MWC,,21,14,64.0,58.9,5.09,,-1.96,,-1.96,3.49,1.53,89.16,87.18,1.98
140,Southern Mississippi,Sun Belt,,20,14,67.5,63.5,3.97,,-1.41,,-0.99,2.40,1.41,90.69,88.78,1.91
141,Purdue Fort Wayne,Horizon,,23,13,70.9,63.4,7.56,,-3.19,,1.16,0.21,1.37,93.12,91.16,1.96
142,Norfolk State,MEAC,,27,6,67.0,53.1,13.91,,-11.30,,-2.57,3.86,1.29,91.24,89.24,1.99
143,Tulane,AAC,,12,20,64.4,65.6,-1.19,,2.48,,0.45,0.84,1.29,96.41,94.86,1.55
144,Oral Roberts,Summit,,21,11,82.1,75.4,6.72,,-0.52,,12.34,-11.10,1.23,97.63,95.81,1.82
145,Louisiana-Monroe,Sun Belt,,21,14,74.2,67.9,6.31,,-2.07,,5.07,-3.98,1.08,94.84,93.66,1.18
146,San Diego State,MWC,,22,13,66.3,64.3,1.97,,-0.53,,1.02,-0.28,0.75,92.88,92.21,0.67
147,Lamar,Southland,,24,7,66.6,57.6,9.03,,-5.58,,-2.40,3.09,0.70,93.78,92.18,1.59
148,South Dakota,Summit,,23,13,70.9,64.6,6.25,,-1.54,,0.54,0.04,0.58,93.67,93.06,0.61
149,San Francisco,WCC,,14,16,66.8,67.1,-0.30,,1.47,,1.11,-0.71,0.40,91.23,90.89,0.34
150,New Mexico,MWC,,21,11,64.7,60.8,3.94,,-3.00,,-1.85,2.14,0.29,88.83,88.42,0.41
151,Montana State,Big Sky,,17,16,58.7,58.0,0.70,,-0.57,,-6.16,6.28,0.13,84.96,84.96,0.00
152,Vermont,AEC,,25,12,59.4,52.8,6.59,,-6.25,,-6.38,6.47,0.09,93.22,92.18,1.04
153,UAB,AAC,,18,14,71.9,69.8,2.13,,-1.78,,6.78,-6.71,0.06,99.34,99.60,-0.26
154,Southern Indiana,OVC,,25,7,72.1,62.4,9.66,,-7.07,,1.40,-1.40,0.00,92.92,92.60,0.32
155,Stephen F. Austin,WAC,,22,12,75.6,68.6,7.00,,-3.24,,5.26,-5.60,-0.34,93.27,93.56,-0.28
156,Illinois-Chicago,MVC,,18,16,69.2,66.2,2.94,,-3.36,,-0.04,-0.38,-0.42,89.13,90.01,-0.87
157,Northwestern,Big Ten,,9,21,66.1,80.3,-14.17,,13.61,,5.01,-5.57,-0.56,96.46,97.25,-0.79
158,College of Charleston,CAA,,22,10,75.3,62.8,12.53,,-8.70,,4.58,-5.21,-0.63,92.65,94.17,-1.51
159,North Carolina A&T,CAA,,22,12,64.2,56.8,7.38,,-4.64,,-4.37,3.42,-0.95,86.92,87.94,-1.02
160,Pennsylvania,Ivy,,15,13,65.6,63.4,2.14,,0.63,,0.19,-1.14,-0.95,92.14,93.91,-1.77
161,Monmouth,CAA,,22,10,64.1,58.3,5.81,,-6.08,,-3.16,1.79,-1.37,88.35,90.28,-1.93
162,Western Kentucky,CUSA,,15,17,64.4,63.5,0.88,,-0.40,,-1.29,-0.08,-1.37,88.70,90.79,-2.09
163,Brown,Ivy,,16,11,63.1,61.8,1.33,,-0.68,,-1.36,-0.05,-1.41,88.93,91.51,-2.57
164,Loyola (IL),A-10,,15,16,62.8,63.3,-0.48,,-1.17,,-4.07,2.43,-1.65,90.14,91.82,-1.68
165,Central Arkansas,A-Sun,,21,12,65.7,59.0,6.67,,-5.80,,-3.39,1.56,-1.83,89.35,91.78,-2.43
166,Louisiana,Sun Belt,,17,14,58.4,59.0,-0.65,,0.27,,-9.98,7.90,-2.08,85.23,88.07,-2.84
167,Louisiana Tech,CUSA,,14,19,62.4,62.6,-0.24,,1.13,,-4.62,2.52,-2.10,89.01,91.42,-2.41
168,Texas A&M-Corpus Christi,Southland,,23,9,66.8,57.9,8.91,,-6.63,,-2.48,0.14,-2.34,86.54,89.73,-3.19
169,Cal Poly,Big West,,17,14,60.6,60.8,-0.19,,-2.19,,-4.51,2.13,-2.38,86.50,89.99,-3.49
170,Arkansas State,Sun Belt,,13,17,66.3,63.9,2.47,,-2.25,,-1.40,-1.06,-2.46,94.10,97.89,-3.80
171,Drexel,CAA,,19,15,57.2,55.9,1.32,,-3.10,,-9.48,7.01,-2.47,88.04,91.58,-3.54
172,Appalachian State,Sun Belt,,17,15,72.2,73.4,-1.25,,-1.48,,4.28,-7.02,-2.73,90.12,93.54,-3.42
173,Fordham,A-10,,12,17,62.4,62.2,0.28,,-0.69,,-2.41,-0.50,-2.91,88.62,92.88,-4.26
174,UC Davis,Big West,,20,14,61.9,60.0,1.97,,-2.36,,-4.04,0.99,-3.04,87.84,92.04,-4.20
175,Florida International,CUSA,,21,12,68.6,64.2,4.42,,-5.02,,-0.06,-2.99,-3.05,88.04,92.55,-4.51
176,Southeastern Louisiana,Southland,,19,12,63.5,58.0,5.52,,-4.93,,-5.42,2.34,-3.08,84.57,88.70,-4.13
177,Saint Mary's (CA),WCC,,13,18,61.0,65.3,-4.26,,1.78,,-3.20,0.05,-3.15,92.79,97.78,-5.00
178,Albany (NY),AEC,,25,7,60.9,51.3,9.63,,-10.26,,-8.46,5.20,-3.26,88.65,92.99,-4.33
179,George Washington,A-10,,13,18,58.5,58.2,0.26,,-1.51,,-7.74,4.47,-3.27,84.93,89.89,-4.96
180,Northern Colorado,Big Sky,,15,16,65.1,62.5,2.61,,-2.99,,-3.26,-0.01,-3.27,90.45,95.03,-4.58
181,Bowling Green State,MAC,,16,15,67.4,70.0,-2.61,,-0.74,,0.97,-4.32,-3.35,95.53,100.52,-5.00
182,Towson,CAA,,20,11,66.8,65.4,1.42,,-4.78,,0.10,-3.46,-3.36,88.86,94.32,-5.46
183,Air Force,MWC,,15,17,63.3,66.3,-3.00,,0.25,,-1.83,-1.62,-3.45,88.42,93.62,-5.20
184,Holy Cross,Patriot,,21,13,62.9,56.9,6.06,,-8.52,,-5.69,2.17,-3.52,87.80,92.90,-5.10
185,San Diego,WCC,,9,22,62.8,66.9,-4.06,,2.47,,-2.35,-1.18,-3.53,90.07,94.89,-4.82
186,Nevada,MWC,,16,16,64.3,65.0,-0.72,,-1.68,,-1.96,-1.59,-3.55,87.49,92.18,-4.69
187,Wichita State,AAC,,10,22,64.0,69.9,-5.84,,2.11,,-0.88,-2.86,-3.74,86.93,92.23,-5.30
188,Abilene Christian,WAC,,14,16,69.9,66.1,3.80,,-5.42,,0.29,-4.05,-3.76,93.15,98.83,-5.68
189,Buffalo,MAC,,19,14,65.9,63.6,2.33,,-5.14,,-2.09,-1.89,-3.98,89.91,95.90,-5.99
190,William & Mary,CAA,,15,14,63.2,62.6,0.66,,-4.71,,-2.72,-1.34,-4.06,85.77,91.98,-6.20
191,Eastern Kentucky,A-Sun,,22,12,71.9,64.0,7.85,,-6.90,,0.33,-4.48,-4.16,88.34,93.97,-5.63
192,Fresno State,MWC,,15,18,64.3,63.0,1.27,,-3.05,,-2.89,-1.42,-4.30,90.72,97.66,-6.95
193,Idaho,Big Sky,,15,16,59.8,57.2,2.58,,-4.97,,-8.50,4.18,-4.32,85.04,91.35,-6.31
194,Southern Illinois,MVC,,11,20,65.6,68.5,-2.84,,-1.48,,-2.11,-2.21,-4.32,85.97,92.04,-6.06
